id,year,district_code,district_name,dong_code,dong_name,lot_type_code,lot_type,main_no,sub_no,building_name,contract_day,price,arch_area,land_area,floor,built_year,housing_type,deal_type,address,latitude,longitude
1,2025,11215,광진구,10100,중곡동,1,대지,121,34,(121-34),2025-02-12,327000000,57.6,33.0,1.0,2002.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0121-0034 (121-34),37.5563570233191,127.086510985
2,2025,11215,광진구,10500,자양동,1,대지,13,27,(13-27),2025-06-14,440000000,43.84,28.0,2.0,2002.0,연립다세대,중개거래,서울특별시 광진구 자양동 0013-0027 (13-27),37.5400602691335,127.065087892994
3,2025,11215,광진구,10500,자양동,1,대지,13,50,(13-50),2025-05-30,350000000,23.22,18.0,2.0,2007.0,연립다세대,중개거래,서울특별시 광진구 자양동 0013-0050 (13-50),37.5407211016154,127.065180119813
4,2025,11215,광진구,10100,중곡동,1,대지,134,15,(134-15),2024-12-27,355000000,69.72,32.0,3.0,2004.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0134-0015 (134-15),37.556891543707,127.085204765327
5,2025,11215,광진구,10100,중곡동,1,대지,150,242,(150-242),2024-12-27,310000000,59.6,26.0,4.0,2014.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0150-0242 (150-242),37.5597272084353,127.084763763587
6,2025,11215,광진구,10500,자양동,1,대지,16,32,(16-32),2025-06-28,395000000,19.1,16.0,2.0,2007.0,연립다세대,중개거래,서울특별시 광진구 자양동 0016-0032 (16-32),37.5400814036684,127.063838847287
7,2025,11215,광진구,10200,능동,1,대지,161,0,(161-0),2025-07-05,280000000,40.1,30.0,1.0,2006.0,연립다세대,중개거래,서울특별시 광진구 능동 0161-0000 (161-0),37.5536415109866,127.081045214401
8,2025,11215,광진구,10300,구의동,1,대지,199,8,(199-8),2025-03-02,239000000,27.66,47.03,9.0,2017.0,오피스텔,중개거래,서울특별시 광진구 구의동 0199-0008 (199-8),37.5404564288976,127.095232480401
9,2025,11215,광진구,10100,중곡동,1,대지,220,9,(220-9),2025-06-11,310000000,27.54,21.0,3.0,2013.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0220-0009 (220-9),37.5662310391792,127.082360080076
10,2025,11215,광진구,10300,구의동,1,대지,221,75,(221-75),2025-05-22,150000000,15.78,10.0,4.0,2017.0,연립다세대,직거래,서울특별시 광진구 구의동 0221-0075 (221-75),37.5398022422156,127.08883665532
11,2025,11215,광진구,10300,구의동,1,대지,223,24,(223-24),2025-06-23,400000000,61.0,38.0,3.0,2002.0,연립다세대,중개거래,서울특별시 광진구 구의동 0223-0024 (223-24),37.541146854316,127.090784459955
12,2025,11215,광진구,10500,자양동,1,대지,229,16,(229-16),2025-03-26,240000000,25.28,9.0,1.0,2008.0,연립다세대,중개거래,서울특별시 광진구 자양동 0229-0016 (229-16),37.5356818168091,127.078495773598
13,2025,11215,광진구,10300,구의동,1,대지,230,9,(230-9),2025-07-14,900000000,135.9,66.0,3.0,2003.0,연립다세대,중개거래,서울특별시 광진구 구의동 0230-0009 (230-9),37.5442384200134,127.088813969445
14,2025,11215,광진구,10100,중곡동,1,대지,234,20,(234-20),2025-05-06,330000000,65.76,39.0,3.0,2001.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0234-0020 (234-20),37.5650687387155,127.078005481236
15,2025,11215,광진구,10200,능동,1,대지,240,7,(240-7),2025-05-30,350000000,53.44,27.0,1.0,1997.0,연립다세대,중개거래,서울특별시 광진구 능동 0240-0007 (240-7),37.5537619941707,127.082060147262
16,2025,11215,광진구,10300,구의동,1,대지,242,31,(242-31),2024-12-09,220000000,36.56,25.0,2.0,1987.0,연립다세대,중개거래,서울특별시 광진구 구의동 0242-0031 (242-31),37.5393646570765,127.08746816461
17,2025,11215,광진구,10100,중곡동,1,대지,243,4,(243-4),2025-06-24,287000000,51.1,34.0,1.0,2012.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0243-0004 (243-4),37.5625516818401,127.080340334357
18,2025,11215,광진구,10400,광장동,1,대지,350,8,(350-8),2025-03-07,390000000,62.84,37.0,3.0,2002.0,연립다세대,중개거래,서울특별시 광진구 광장동 0350-0008 (350-8),37.5488508366095,127.105434875886
19,2025,11215,광진구,10900,군자동,1,대지,4,0,(4-0),2025-03-03,385000000,70.4,46.0,3.0,1999.0,연립다세대,중개거래,서울특별시 광진구 군자동 0004-0000 (4-0),37.5572871114739,127.074787807267
